shop;product;status;price;currency;category;position;absolutePosition;date;image;description
Delimart - Guachipelin 🛒;2X Sangria Mia 750 ml Tinta;Unavailable;11600;CRC;Promos Fiesta;17;42;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/4b904878-9c5b-4feb-8c94-9db031eb7845.jpeg;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;2X Sangria Mia 750 ml ( 1 Tinta y 1 Blanca);Unavailable;11600;CRC;Promos Fiesta;18;43;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/195ac8dc-8a89-4748-bb11-ad60d79231fc.jpeg;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;2X Vinos Casillero Del Diablo (Indicar: Cabernet Sauvignon, Merlot, Sauvignon Blanc o Chardonnay);Unavailable;15950;CRC;Promos Fiesta;19;44;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/14beadae-e2a5-45f7-a570-2803e042275b.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;Combo Ranchitas + Pepsi 2.5 lt;Sold out;2325;CRC;Promos Fiesta;20;45;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/9735b1cd-1d5a-4350-9e5f-e0015706b39a.png;Sold out
Delimart - Guachipelin 🛒;Gallo Pinto Sencillo + Jugo de Naranja 500 ml;Sold out;2550;CRC;Promos Desayuno;1;46;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/14062da6-cb59-47ea-8bbc-9b30b7780504.png;Sold out
Delimart - Guachipelin 🛒;Gallo Pinto Deluxe + Jugo de Naranja 500 ml;Sold out;2900;CRC;Promos Desayuno;2;47;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/f4efcf44-d1a7-415d-9141-d9b5ea6eca74.png;Sold out
Delimart - Guachipelin 🛒;Te Dos Pinos Personal+Reposteri Vriedad;Sold out;1375;CRC;Promos Desayuno;3;48;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/258dc85a-d6e4-4df4-bff9-91e0507737ea.png;Sold out
Delimart - Guachipelin 🛒;2X Bimbo Pan Cuadrado;Available;2730;CRC;Promos Desayuno;4;49;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/bfa33adc-e92f-41e2-bfc5-e6d082b7d948.png;undefined
Delimart - Guachipelin 🛒;Combo Desayuno #1;Available;3025;CRC;Promos Desayuno;5;50;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/552bb1bb-2fae-41cb-bad1-bcb13a656438.png;undefined
Delimart - Guachipelin 🛒;Combo Desayuno #2;Available;4000;CRC;Promos Desayuno;6;51;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/c261cba5-9077-4e50-a972-3f6da49ca762.png;undefined
